Dataset,Model,train_accuracy,train_precision,train_recall,train_f1,train_mcc,train_aucroc,train_aucpr,train_sensitivity,train_specificity,train_ppv,train_npv,train_ARI,train_NMI,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
covid-19,jknet,0.9340270171595472 ± 0.0140660601049314,0.934192683798516 ± 0.0139416732612739,0.9340270171595472 ± 0.0140660601049314,0.934044767227386 ± 0.0140545473866336,0.8679773901715182 ± 0.0280367769853533,0.981680026963277 ± 0.0072543733956566,0.9842676053507198 ± 0.0062952619826478,0.9305197070108128 ± 0.0177345176423602,0.9378782075833014 ± 0.0111444312157232,0.9426397616989928 ± 0.0105267241408053,0.9249173975707612 ± 0.0185046892451349,0.7541055929445474 ± 0.0491944868551264,0.6515117302186484 ± 0.0545557718553897,0.8642056074766356 ± 0.02364458276222,0.8734064580881924 ± 0.0149675062118415,0.8642056074766356 ± 0.02364458276222,0.8626050968211445 ± 0.025146529520352,0.7358931548334327 ± 0.0395676035612103,0.9504558823529412 ± 0.0048654636194516,0.9530924957575272 ± 0.0056927879046812,0.94 ± 0.0207519669586538,0.7809803921568628 ± 0.0710111243187209,0.8275513906296215 ± 0.0438210771447027,0.9237571203956426 ± 0.0183639792824512,0.5321155378321408 ± 0.0684190483548427,0.45305773852438 ± 0.0419838916059459,49.74212646484375 ± 15.169308314303256,41.0 ± 13.765899897936205,1.0 ± 0.0
covid-19,tagconv,0.9670682730923694 ± 0.037663096602622,0.967082778883341 ± 0.0376447217421351,0.9670682730923694 ± 0.037663096602622,0.96707208695372 ± 0.0376581005218732,0.9340150910998866 ± 0.0754619442932217,0.9920347455434247 ± 0.0103550212260074,0.993101214859334 ± 0.008983774336067,0.967143355423788 ± 0.0372179266206266,0.9669858291842208 ± 0.0381598372644751,0.969780837152602 ± 0.0349527259798291,0.9641201848358608 ± 0.0406068428201459,0.8771275059071402 ± 0.1389440575927027,0.8201692306363737 ± 0.186727320660033,0.8726168224299066 ± 0.0335239259584724,0.8826929041827449 ± 0.0236056290662313,0.8726168224299066 ± 0.0335239259584724,0.8709218948206274 ± 0.0352754051792579,0.7536008455707371 ± 0.0582819997710684,0.961797268907563 ± 0.0086922070157455,0.9641401022047246 ± 0.0076819565608972,0.9489285714285712 ± 0.0182479555746133,0.7888235294117647 ± 0.0867677522451797,0.8351400162139611 ± 0.0550691407505411,0.9349078399916056 ± 0.0159976812353717,0.5587236832363149 ± 0.0986491620521742,0.4820185971654881 ± 0.0687166049992037,62.35232353210449 ± 35.17444468724704,74.2 ± 28.839209420509437,1.0 ± 0.0
covid-19,appnp,0.9106973347937204 ± 0.0121229165193443,0.9109006622456766 ± 0.0121016861981136,0.9106973347937204 ± 0.0121229165193443,0.9107273310523728 ± 0.0121175999904202,0.8212818852803044 ± 0.0242634912785124,nan ± nan,nan ± nan,0.9062434600627836 ± 0.011985111774656,0.9155878973573344 ± 0.0123322017908835,0.9217989569479824 ± 0.0114915847751788,0.8989338254354464 ± 0.0128114455422074,0.6750997521121285 ± 0.0390817978654081,0.5670685385348039 ± 0.0391153835905744,0.8414018691588785 ± 0.0290859229909801,0.8580680689053022 ± 0.0145490433824121,0.8414018691588785 ± 0.0290859229909801,0.8381640393413962 ± 0.0320866798312261,0.6967168354422075 ± 0.0451380546627649,nan ± nan,nan ± nan,0.9475 ± 0.0215250802932916,0.7249019607843137 ± 0.0834675965692512,0.7938020112255466 ± 0.0453986698907788,0.92863472047523 ± 0.0220133150932532,0.468607931658873 ± 0.0785049498510192,0.4098016298997797 ± 0.0403737517751659,44.68955993652344 ± 8.374459993963262,279.4 ± 62.74392400862413,1.0 ± 0.0
covid-19,chebnet,0.9995618838992332 ± 0.0001632762305585,0.999562054012577 ± 0.0001631728264703,0.9995618838992332 ± 0.0001632762305585,0.9995618888518834 ± 0.0001632729467337,0.9991220304885614 ± 0.0003271568300421,0.9999943893300018 ± 7.985687817962331e-06,0.9999949111617048 ± 7.247219724951212e-06,0.999372166027206 ± 0.0002918242157425,0.9997702029873612 ± 0.0002097750124493,0.9997906733284474 ± 0.0001910882396205,0.9993110193214244 ± 0.0003199638740767,0.9982480620151886 ± 0.0006527347946765,0.9946770076927376 ± 0.0018496831829305,0.9085981308411216 ± 0.0031451062935446,0.9087333023659032 ± 0.0031425779273752,0.9085981308411216 ± 0.0031451062935446,0.9085369703235432 ± 0.0031521572901378,0.816835059414668 ± 0.0063109183966952,0.9680120798319328 ± 0.0025624197478481,0.9711987271989946 ± 0.0033603749649087,0.9233928571428572 ± 0.0045263542341559,0.8923529411764706 ± 0.0062545638853869,0.9040472750933326 ± 0.0049498776856106,0.9138787440769608 ± 0.0045237104139102,0.6676835945803006 ± 0.010299949098158,0.559077596137499 ± 0.0104578315886527,54.64787483215332 ± 5.7955686571627725,74.2 ± 7.823042886243178,1.0 ± 0.0
covid-19,feastconv,0.928696604600219 ± 0.0145229824531188,0.9287337118977496 ± 0.014487890945024,0.928696604600219 ± 0.0145229824531188,0.9287031639655056 ± 0.014514696704196,0.8571335225208749 ± 0.029056054255079,0.9807015261155982 ± 0.0072930369667154,0.9833447452672208 ± 0.0062355129154004,0.9301011510289502 ± 0.0164722888497632,0.9271543469934892 ± 0.0127813650220469,0.9333825542130372 ± 0.0119208878720974,0.923629065816582 ± 0.0175886078378236,0.7357489441445131 ± 0.0501229888131812,0.6308062874682648 ± 0.0546943192208241,0.8693457943925234 ± 0.0144429569091599,0.8757112692417222 ± 0.0097066949215359,0.8693457943925234 ± 0.0144429569091599,0.8682591274493164 ± 0.0151816290688854,0.7436285533923508 ± 0.0246766064925134,0.9524094887955185 ± 0.0016450549351927,0.9565661363897532 ± 0.0013157929041584,0.9360714285714286 ± 0.0147605246090609,0.7960784313725491 ± 0.0463539945469375,0.8356565707767096 ± 0.0298169137125305,0.9196928989287946 ± 0.0126623763743238,0.5460940231221134 ± 0.0430211230035475,0.4592175922695363 ± 0.0273383812246768,58.38279724121094 ± 8.657827465384402,133.8 ± 37.731949326797306,1.0 ± 0.0
covid-19,gcn,0.9313253012048192 ± 0.0145938264112341,0.931361925626784 ± 0.0145610368973377,0.9313253012048192 ± 0.0145938264112341,0.93133260810781 ± 0.0145861205050705,0.8624032012062196 ± 0.0292017211755143,0.9818955702023728 ± 0.0073377648146207,0.984603867914044 ± 0.006176504008793,0.932333449598884 ± 0.0163302405451267,0.9302183071620068 ± 0.012932534525763,0.9361467551918088 ± 0.0120582049303304,0.9261079591913468 ± 0.0174858399524585,0.7448002031489518 ± 0.0506314899150193,0.6407096406788639 ± 0.0557430338032671,0.8661682242990654 ± 0.0204612076483661,0.8737951023932367 ± 0.0131245264528792,0.8661682242990654 ± 0.0204612076483661,0.8648314229798345 ± 0.0216864941642591,0.7383948723002411 ± 0.0343973799211633,0.9524229691876752 ± 0.0015229591942494,0.9561001199385676 ± 0.0017007061155105,0.93625 ± 0.0185748623199226,0.7892156862745099 ± 0.0627642434026244,0.8319433310300127 ± 0.039129745747621,0.9197499885959924 ± 0.0160836256614976,0.537408234755235 ± 0.0596141746970325,0.4538873969099238 ± 0.0366670585588534,47.04771041870117 ± 10.749341355068912,106.8 ± 33.81863391682165,1.0 ± 0.0
covid-19,sgc,0.9061701350857976 ± 0.0035514925991865,0.906178111584922 ± 0.0035429030105169,0.9061701350857976 ± 0.0035514925991865,0.9061715299440524 ± 0.0035493945745124,0.8119408838645337 ± 0.0071052570469501,0.9680371752307086 ± 0.0020750586186344,0.9718657361429636 ± 0.0021606215999047,0.9100104638995464 ± 0.0042361206144021,0.90195327460743 ± 0.0036934702263473,0.9106471634348686 ± 0.0032997559858358,0.9012708838354786 ± 0.0044039453551339,0.6598736645786092 ± 0.0115804618065048,0.5504418527355259 ± 0.0116874654447318,0.8650467289719627 ± 0.0115714371209579,0.8712490004393121 ± 0.0069912530672422,0.8650467289719627 ± 0.0115714371209579,0.8639414604029056 ± 0.0123101943445122,0.7348217382180691 ± 0.0190255735771269,0.9462852766106444 ± 0.0011546708493631,0.951375213384604 ± 0.0013440715633036,0.9328571428571428 ± 0.0138090106637008,0.7905882352941177 ± 0.0392499850008664,0.8311138177891297 ± 0.024260439032311,0.9153190049179438 ± 0.0124207348623773,0.5332197595694173 ± 0.0337838956614407,0.4462752638109439 ± 0.0192992491022864,65.42673110961914 ± 11.736716431602911,500.0 ± 0.0,0.0 ± 0.0
covid-19,gat,0.9545089448703908 ± 0.0042369316677315,0.9546038223047076 ± 0.0042186184386417,0.9545089448703908 ± 0.0042369316677315,0.9545185558839836 ± 0.004234721218393,0.9089367737611664 ± 0.0084679281659813,0.9904645060332736 ± 0.0018322807732711,0.9915688995107248 ± 0.0015056897149163,0.9514475061039416 ± 0.0058124636100373,0.9578705476828802 ± 0.0054433820005943,0.9612530955132228 ± 0.0048649349155575,0.947302609631857 ± 0.0059946298957069,0.8263388648467741 ± 0.0153997862243506,0.7336354083578204 ± 0.0186012255782484,0.8872897196261682 ± 0.0046424240026242,0.8891794759476662 ± 0.0029900455289124,0.8872897196261682 ± 0.0046424240026242,0.8869279501604206 ± 0.0048804446957515,0.7755903064011684 ± 0.0077845971147465,0.956939775910364 ± 0.0016551952259904,0.9606864992008038 ± 0.0021401287423722,0.9264285714285714 ± 0.0100143392091499,0.8443137254901961 ± 0.020369991724604,0.8675554137081896 ± 0.0135172539354045,0.9129235442890524 ± 0.0093243103431979,0.5998453821596847 ± 0.0143422562769513,0.497937725988481 ± 0.0084800867778183,46.13289833068848 ± 8.013751367238582,81.4 ± 13.277801022759755,1.0 ± 0.0
covid-19,graphsage,0.9958013873676524 ± 0.0019745625824008,0.995803262844016 ± 0.0019750255709153,0.9958013873676524 ± 0.0019745625824008,0.9958015201144106 ± 0.0019745592933409,0.9915865474757236 ± 0.0039582261813813,0.999581256995804 ± 0.0003236645340187,0.9996680733995948 ± 0.0002667962565182,0.9952563655388909 ± 0.0017544159525579,0.9963998468019916 ± 0.0023390932952282,0.9967174842427 ± 0.0021302668669569,0.9947994050309076 ± 0.001925123897,0.9832854253795013 ± 0.0078270378687541,0.9614608445860332 ± 0.015580118611074,0.9117757009345796 ± 0.0059052553904388,0.9131599796495168 ± 0.0047611656968378,0.9117757009345796 ± 0.0059052553904388,0.9115592592479598 ± 0.0060445434028788,0.8242998507468207 ± 0.0107967856710713,0.9741734943977592 ± 0.0015765030991554,0.977359701639302 ± 0.0017529828452634,0.9439285714285716 ± 0.0068115111152716,0.8764705882352942 ± 0.0183545541439696,0.8937361567989225 ± 0.01326335119807,0.934488098858012 ± 0.0063758869456454,0.6781918072098444 ± 0.0192951519263166,0.5753050659657779 ± 0.015206797054871,44.01569366455078 ± 9.898660852130366,94.2 ± 7.120393247567159,1.0 ± 0.0
covid-19,gin,0.9403431909456004 ± 0.0066965651484748,0.9403800837142782 ± 0.0066710605166646,0.9403431909456004 ± 0.0066965651484748,0.9403496581566836 ± 0.0066928387501748,0.8804768111602239 ± 0.013388110171408,0.9832265680720548 ± 0.0043575126055833,0.9861240960205993 ± 0.0032086084914573,0.9406348099058248 ± 0.0080955394753517,0.940022979701264 ± 0.0061553865504307,0.9451152048678054 ± 0.0056420222135656,0.9351806994373107 ± 0.0085642375665675,0.7757103555700787 ± 0.0237059119299683,0.6741538151545999 ± 0.0269399889286281,0.8713084112149533 ± 0.0166875433345267,0.8786699461066579 ± 0.01045444080353,0.8713084112149533 ± 0.0166875433345267,0.8701108113013809 ± 0.0176836129920861,0.7485140275390411 ± 0.0277465198694034,0.9516062675070028 ± 0.0022615875776808,0.9537072357940138 ± 0.0024412781666422,0.9396428571428572 ± 0.0213222810310564,0.7962745098039216 ± 0.0561115012871805,0.8368872578694345 ± 0.0352310053512266,0.9245489763279228 ± 0.0199552718713321,0.5521324823071655 ± 0.0493149041496996,0.4680976402612843 ± 0.0294696449244353,43.38078498840332 ± 25.510229206205015,48.4 ± 7.987490219086344,1.0 ± 0.0
